epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,311.453,0.51178,0.47221,0.4336,0.83383,0.99671,1,0.9945,0.88041,0.99671,1,0.9945,0.65796,0.51327,0.57558,0.41348,0.80724,0.0002972,0.0002972,0.0002972
88,316.384,0.54697,0.58497,0.4533,0.82205,0.99673,1,0.99444,0.8757,0.99673,1,0.99444,0.65698,0.51756,0.57866,0.40852,0.80733,0.0002774,0.0002774,0.0002774
89,319.535,0.52015,0.52342,0.46695,0.82225,0.99673,1,0.99444,0.8757,0.99673,1,0.99444,0.65698,0.51756,0.57866,0.40852,0.80733,0.0002576,0.0002576,0.0002576
90,323.478,0.50849,0.53018,0.42042,0.82299,0.99672,1,0.99438,0.87449,0.99672,1,0.99438,0.65281,0.51915,0.5883,0.40524,0.80789,0.0002378,0.0002378,0.0002378
91,342.006,0.5414,0.58078,0.46481,0.81276,0.99672,1,0.99438,0.87449,0.99672,1,0.99438,0.65281,0.51915,0.5883,0.40524,0.80789,0.000218,0.000218,0.000218
92,344.985,0.51928,0.50812,0.46932,0.80562,0.99664,1,0.9944,0.87486,0.99664,1,0.9944,0.65575,0.51657,0.58541,0.40256,0.80672,0.0001982,0.0001982,0.0001982
93,350.114,0.51211,0.50019,0.49137,0.80941,0.99664,1,0.9944,0.87486,0.99664,1,0.9944,0.65575,0.51657,0.58541,0.40256,0.80672,0.0001784,0.0001784,0.0001784
94,355.173,0.52335,0.54712,0.43245,0.81524,0.99652,1,0.99442,0.87984,0.99652,1,0.99442,0.66155,0.5142,0.57497,0.4046,0.80584,0.0001586,0.0001586,0.0001586
95,358.098,0.5288,0.55306,0.43029,0.81447,0.99652,1,0.99442,0.87984,0.99652,1,0.99442,0.66155,0.5142,0.57497,0.4046,0.80584,0.0001388,0.0001388,0.0001388
96,362.087,0.52185,0.49375,0.48704,0.81659,0.99664,1,0.99443,0.8816,0.99664,1,0.99443,0.66339,0.51325,0.56775,0.40486,0.80566,0.000119,0.000119,0.000119
97,366.823,0.48897,0.47297,0.54827,0.81095,0.99664,1,0.99443,0.8816,0.99664,1,0.99443,0.66339,0.51325,0.56775,0.40486,0.80566,9.92e-05,9.92e-05,9.92e-05
98,371.739,0.50496,0.51937,0.56373,0.82049,0.99662,1,0.99446,0.88233,0.99662,1,0.99446,0.66695,0.51093,0.56482,0.40395,0.80536,7.94e-05,7.94e-05,7.94e-05
99,374.474,0.51794,0.54371,0.43493,0.8206,0.99662,1,0.99446,0.88233,0.99662,1,0.99446,0.66695,0.51093,0.56482,0.40395,0.80536,5.96e-05,5.96e-05,5.96e-05
100,377.922,0.5023,0.57003,0.4867,0.82573,0.99664,1,0.99448,0.88302,0.99664,1,0.99448,0.66962,0.50775,0.56364,0.40153,0.80511,3.98e-05,3.98e-05,3.98e-05
